# t[Gyr], SFR_tot/<SFR_tot>
1.216250000000000142e+01 4.333930339777113394e-01
1.218750000000000178e+01 4.343103942328260247e-01
1.221250000000000213e+01 4.355764093577764173e-01
1.223750000000000249e+01 4.371121196295912892e-01
1.226250000000000107e+01 4.388250732551269295e-01
1.228750000000000142e+01 4.406115022427514738e-01
1.231250000000000178e+01 4.423593175837249314e-01
1.233750000000000213e+01 4.439518245942157271e-01
1.236250000000000249e+01 4.452719971300124202e-01
1.238750000000000107e+01 4.462070947348256156e-01
1.241250000000000142e+01 4.466533653326200115e-01
1.243750000000000178e+01 4.465205526589548501e-01
1.246250000000000213e+01 4.457359255924182029e-01
1.248750000000000249e+01 4.442475672813598897e-01
1.251250000000000107e+01 4.420267046262386645e-01
1.253750000000000142e+01 4.390689202044338879e-01
1.256250000000000178e+01 4.353941640684177439e-01
1.258750000000000213e+01 4.310455654932791592e-01
1.261250000000000249e+01 4.260871273930679770e-01
1.263750000000000107e+01 4.206004614646379203e-01
1.266250000000000142e+01 4.146807836361628974e-01
1.268750000000000178e+01 4.084324320515254625e-01
1.271250000000000213e+01 4.019641905417991601e-01
1.273750000000000249e+01 3.953846984842503964e-01
1.276250000000000107e+01 3.887982045142798770e-01
1.278750000000000142e+01 3.823008800832782828e-01
1.281250000000000178e+01 3.759778541800490870e-01
1.283750000000000213e+01 3.699010683684690326e-01
1.286250000000000249e+01 3.641279875688494538e-01
1.288750000000000107e+01 3.587011422405090855e-01
1.291250000000000142e+01 3.536484263856698451e-01
1.293750000000000178e+01 3.489840363629513331e-01
1.296250000000000213e+01 3.447099096611319080e-01
1.298750000000000249e+01 3.408175108498890937e-01
