# t[Gyr], SFR_thin.d/<SFR_thin.d>
5.837500000000001243e+00 1.136852427735458804e+00
5.862500000000001599e+00 1.132596021678458298e+00
5.887500000000001066e+00 1.128349030097039352e+00
5.912500000000001421e+00 1.124111610924853233e+00
5.937500000000000888e+00 1.119883917403175611e+00
5.962500000000001243e+00 1.115666098179559640e+00
5.987500000000001599e+00 1.111458297404536832e+00
6.012500000000001066e+00 1.107260654826380586e+00
6.037500000000001421e+00 1.103073305883988331e+00
6.062500000000001776e+00 1.098896381797924482e+00
6.087500000000001243e+00 1.094730009659635739e+00
6.112500000000001599e+00 1.090574312518918676e+00
6.137500000000001066e+00 1.086429409469639840e+00
6.162500000000001421e+00 1.082295415733761201e+00
6.187500000000001776e+00 1.078172442743719817e+00
6.212500000000001243e+00 1.074060598223167906e+00
6.237500000000001599e+00 1.069959986266146190e+00
6.262500000000001066e+00 1.065870707414700247e+00
6.287500000000001421e+00 1.061792858734992295e+00
6.312500000000001776e+00 1.057726533891945264e+00
6.337500000000001243e+00 1.053671823222447346e+00
6.362500000000001599e+00 1.049628813807178984e+00
6.387500000000001066e+00 1.045597589541080730e+00
6.412500000000001421e+00 1.041578231202520577e+00
6.437500000000001776e+00 1.037570816521210082e+00
6.462500000000001243e+00 1.033575420244895238e+00
6.487500000000001599e+00 1.029592114204911368e+00
6.512500000000001066e+00 1.025620967380622695e+00
6.537500000000001421e+00 1.021662045962829612e+00
6.562500000000001776e+00 1.017715413416214965e+00
6.587500000000001243e+00 1.013781130540879483e+00
6.612500000000001599e+00 1.009859255533081646e+00
6.637500000000001066e+00 1.005949844045251451e+00
6.662500000000001421e+00 1.002052949245390900e+00
6.687500000000001776e+00 9.981686218759866502e-01
6.712500000000001243e+00 9.942969103125468555e-01
6.737500000000001599e+00 9.904378606219428338e-01
6.762500000000001066e+00 9.865915166206991049e-01
6.787500000000001421e+00 9.827579199334441906e-01
6.812500000000001776e+00 9.789371100517455515e-01
6.837500000000001243e+00 9.751291243935638064e-01
6.862500000000001599e+00 9.713339983636462005e-01
6.887500000000001954e+00 9.675517654151566393e-01
6.912500000000001421e+00 9.637824571129445239e-01
6.937500000000001776e+00 9.600261031988661653e-01
6.962500000000001243e+00 9.562827316596473892e-01
6.987500000000001599e+00 9.525523687978489917e-01
