# t[Gyr], fraction_in_stars&remnants_thin.d
8.187500000000000000e+00 7.076196036435199455e-01
8.212500000000000355e+00 7.076207403345399216e-01
8.237500000000000711e+00 7.076218836756498209e-01
8.262500000000001066e+00 7.076230337408790927e-01
8.287500000000001421e+00 7.076241906054764330e-01
8.312500000000001776e+00 7.076253543459365414e-01
8.337500000000000355e+00 7.076265250400273210e-01
8.362500000000000711e+00 7.076277027668181896e-01
8.387500000000001066e+00 7.076288876067085010e-01
8.412500000000001421e+00 7.107270726935306371e-01
8.437500000000001776e+00 7.107282720062899628e-01
8.462500000000000355e+00 7.107294786816311660e-01
8.487500000000000711e+00 7.107306928055807660e-01
8.512500000000001066e+00 7.107319144656529808e-01
8.537500000000001421e+00 7.137391201658412898e-01
8.562500000000001776e+00 7.137403571668222702e-01
8.587500000000000355e+00 7.137416019757392149e-01
8.612500000000000711e+00 7.137428546864077461e-01
8.637500000000001066e+00 7.137441153943115957e-01
8.662500000000001421e+00 7.137453841966427959e-01
8.687500000000001776e+00 7.137466611923410920e-01
8.712500000000000355e+00 7.137479464821367969e-01
8.737500000000000711e+00 7.137492401685934240e-01
8.762500000000001066e+00 7.168075169279641834e-01
8.787500000000001421e+00 7.168088277229882621e-01
8.812500000000001776e+00 7.168101472338122004e-01
8.837500000000000355e+00 7.168114755707888364e-01
8.862500000000000711e+00 7.168128128463396864e-01
8.887500000000001066e+00 7.168141591750061270e-01
8.912500000000001421e+00 7.198676285757334981e-01
8.937500000000001776e+00 7.198689933630038063e-01
8.962500000000000355e+00 7.198703675602748930e-01
8.987500000000000711e+00 7.198717512911170235e-01
9.012500000000001066e+00 7.198731446815032076e-01
9.037500000000001421e+00 7.198745478598720382e-01
9.062500000000001776e+00 7.232260618304371391e-01
9.087500000000000355e+00 7.232274849802690087e-01
9.112500000000000711e+00 7.232289183188405080e-01
9.137500000000001066e+00 7.232303619851128129e-01
9.162500000000001421e+00 7.232318161208539653e-01
9.187500000000001776e+00 7.232332808707152561e-01
9.212500000000000355e+00 7.232347563823080527e-01
9.237500000000000711e+00 7.265302664648422004e-01
9.262500000000001066e+00 7.265317639549804252e-01
9.287500000000001421e+00 7.265332726682675046e-01
9.312500000000001776e+00 7.296972397477989869e-01
9.337500000000000355e+00 7.296987713916375240e-01
9.362500000000000711e+00 7.297003147497577169e-01
9.387500000000001066e+00 7.297018699929120888e-01
9.412500000000001421e+00 7.297034372955414350e-01
9.437500000000001776e+00 7.297050168358809596e-01
9.462500000000000355e+00 7.297066087960697445e-01
9.487500000000000711e+00 7.328254554124257192e-01
9.512500000000001066e+00 7.328270727749197633e-01
9.537500000000001421e+00 7.328287031282629815e-01
9.562500000000001776e+00 7.328303466713905756e-01
9.587500000000000355e+00 7.328320036077533572e-01
9.612500000000000711e+00 7.328336741454546388e-01
9.637500000000001066e+00 7.358669498503699336e-01
9.662500000000001421e+00 7.358686482343802515e-01
9.687500000000001776e+00 7.358703608733954127e-01
9.712500000000000355e+00 7.388730425815802638e-01
9.737500000000000711e+00 7.388747844205703075e-01
9.762500000000001066e+00 7.388765412155344769e-01
9.787500000000001421e+00 7.388783132114246088e-01
9.812500000000001776e+00 7.388801006591434462e-01
9.837500000000000355e+00 7.388819038157357078e-01
9.862500000000000711e+00 7.417592202398741730e-01
9.887500000000001066e+00 7.417610556109278663e-01
9.912500000000001421e+00 7.417629075008884687e-01
9.937500000000001776e+00 7.417647761934568207e-01
9.962500000000000355e+00 7.417666619795625360e-01
9.987500000000000711e+00 7.445681515588201682e-01
1.001250000000000107e+01 7.445700724349439970e-01
1.003750000000000142e+01 7.445720113232755510e-01
1.006250000000000178e+01 7.445739685462209323e-01
1.008750000000000213e+01 7.473693740103921623e-01
1.011250000000000071e+01 7.473713689043480768e-01
1.013750000000000107e+01 7.473733831527539229e-01
1.016250000000000142e+01 7.500364884602030990e-01
1.018750000000000178e+01 7.500385425029902908e-01
1.021250000000000213e+01 7.500406170057923871e-01
1.023750000000000071e+01 7.500427123578334854e-01
1.026250000000000107e+01 7.500448289593333318e-01
1.028750000000000142e+01 7.526404386132056201e-01
1.031250000000000178e+01 7.526425989603549027e-01
1.033750000000000213e+01 7.526447818278353408e-01
1.036250000000000071e+01 7.526469876641905810e-01
1.038750000000000107e+01 7.551776238384335649e-01
1.041250000000000142e+01 7.551798770117823523e-01
1.043750000000000178e+01 7.551821545813915959e-01
1.046250000000000213e+01 7.551844570521413225e-01
1.048750000000000071e+01 7.577166472664005337e-01
1.051250000000000107e+01 7.577190011168229988e-01
1.053750000000000142e+01 7.603218497262900222e-01
1.056250000000000178e+01 7.603242571707282682e-01
1.058750000000000213e+01 7.603266922868802125e-01
1.061250000000000071e+01 7.628667272914985142e-01
1.063750000000000107e+01 7.628692195958443056e-01
