# t[Gyr], h[pc]_thin.d
1.248750000000000249e+01 1.510732325430511480e+02
1.251250000000000107e+01 1.483563142297478805e+02
1.253750000000000142e+01 1.455714737342266005e+02
1.256250000000000178e+01 1.427136220110670877e+02
1.258750000000000213e+01 1.397770192266212064e+02
1.261250000000000249e+01 1.367551536196343420e+02
1.263750000000000107e+01 1.336405899853849348e+02
1.266250000000000142e+01 1.304247779764673965e+02
1.268750000000000178e+01 1.270978064533886283e+02
1.271250000000000213e+01 1.236480841965698545e+02
1.273750000000000249e+01 1.200619182316254978e+02
1.276250000000000107e+01 1.163229467982179131e+02
1.278750000000000142e+01 1.124113610100958169e+02
1.281250000000000178e+01 1.083028108602417205e+02
1.283750000000000213e+01 1.039668245859808167e+02
1.286250000000000249e+01 9.936444946639105069e+01
1.288750000000000107e+01 9.444459072133111022e+01
1.291250000000000142e+01 8.913805334656228752e+01
1.293750000000000178e+01 8.334725124153118259e+01
1.296250000000000213e+01 7.692701410079313007e+01
1.298750000000000249e+01 6.964488911890740042e+01
